trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
81,False,"{'a': 0.9, 'e': 0.09071795328941251}",25,0,38.81663877489838,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.9, 'e': 0.08803683258237259}",30,0,45.31423327153099,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.9, 'e': 0.08543495096732123}",25,16,2.246883434492992,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.9, 'e': 0.0829099665751727}",25,11,26.502603615187073,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.9, 'e': 0.08045960674953244}",30,10,36.97933402988542,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.9, 'e': 0.07808166600115317}",25,10,5.002172721159774,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
87,False,"{'a': 0.9, 'e': 0.07577400402284548}",35,1,19.44776536008271,"{0: 31, 1: 1, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.9, 'e': 0.0735345437630571}",20,4,28.540072818121907,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.9, 'e': 0.07136126955638608}",20,8,20.19250777464643,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.9, 'e': 0.069252225309346}",35,23,24.73623292680951,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.9, 'e': 0.06720551273974978}",20,10,21.485489047951955,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.9, 'e': 0.06521928966812753}",25,18,-15.957082457425553,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
93,False,"{'a': 0.9, 'e': 0.06329176835964073}",25,0,-26.24267598293505,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
94,False,"{'a': 0.9, 'e': 0.06142121391500013}",20,7,20.015493359385566,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.9, 'e': 0.05960594270893937}",30,7,37.80019571998448,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.9, 'e': 0.057844320874838456}",35,24,16.79671136832343,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.9, 'e': 0.056134762834133725}",20,13,11.518495074775952,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.9, 'e': 0.05447572986918988}",25,11,29.588440867549046,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.9, 'e': 0.05286572873835037}",20,9,18.723729117958445,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.9, 'e': 0.051303310331919136}",35,19,24.814944794037103,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.9, 'e': 0.049787068367863944}",20,3,28.543567240600076,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.9, 'e': 0.04831563812606779}",25,11,27.240033219271872,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.9, 'e': 0.046887695219988486}",20,12,5.2083884395329045,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.9, 'e': 0.04550195440462157}",20,4,21.327078845953604,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.9, 'e': 0.04415716841969286}",25,8,27.891123055915056,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.9, 'e': 0.04285212686704019}",20,0,29.347451209243918,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
107,False,"{'a': 0.9, 'e': 0.04158565512117318}",20,8,13.136278765218965,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.9, 'e': 0.04035661327203115}",25,8,27.431679650205293,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.9, 'e': 0.03916389509898708}",25,9,31.176027438757757,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.9, 'e': 0.038006427075174314}",20,13,-30.39591299407902,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.9, 'e': 0.036883167401240015}",20,12,9.28066896875105,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.9, 'e': 0.0357931050676553}",20,12,14.546383725164036,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.9, 'e': 0.03473525894473856}",30,4,29.09142696336841,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.9, 'e': 0.033708676899572416}",25,0,37.263188534968656,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.9, 'e': 0.03271243493901982}",25,2,37.629007424953755,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.9, 'e': 0.03174563637806795}",25,14,22.353556751192812,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.9, 'e': 0.030807411032751076}",30,3,20.80267228883625,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.9, 'e': 0.02989691443692632}",35,25,15.71244874666838,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.9, 'e': 0.029013327082197053}",25,10,23.9766590040054,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.9, 'e': 0.028155853680300106}",20,0,8.984707574758344,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
121,False,"{'a': 0.9, 'e': 0.02732372244729257}",30,20,18.15231436893407,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.9, 'e': 0.02651618440889418}",20,13,13.50783279697309,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.9, 'e': 0.025732512726359954}",20,12,15.540277661197479,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.9, 'e': 0.024972002042276155}",20,8,13.886642087143706,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.9, 'e': 0.024233967845691123}",25,17,15.680948645002621,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.9, 'e': 0.023517745856009107}",20,0,15.95538885224267,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
127,False,"{'a': 0.9, 'e': 0.02282269142509298}",25,18,11.744999027672929,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.9, 'e': 0.022148178957037315}",30,12,26.457813784870257,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.9, 'e': 0.021493601345089923}",25,11,25.233043170832993,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.9, 'e': 0.020858369425214726}",20,1,33.41017658795524,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.9, 'e': 0.02024191144580439}",25,11,22.423773749386076,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.9, 'e': 0.0196436725530653}",30,16,27.358166782483526,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.9, 'e': 0.019063114291611637}",20,11,20.23598167919369,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.9, 'e': 0.01849971411981925}",20,10,20.734143532473748,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.9, 'e': 0.017952964939502866}",30,6,35.41136698430314,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.9, 'e': 0.017422374639493515}",20,2,29.11006572884891,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.9, 'e': 0.01690746565270528}",20,3,26.77949133946006,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.9, 'e': 0.01640777452629266}",20,14,8.95471579562399,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.9, 'e': 0.015922851504511698}",20,16,6.933026643460047,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.9, 'e': 0.015452260123909515}",20,11,16.870369642079766,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.9, 'e': 0.014995576820477703}",20,0,29.29682829460598,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.9, 'e': 0.014552390548416136}",25,7,30.723105335736324,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.9, 'e': 0.014122302410163962}",20,4,23.699966616916573,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.9, 'e': 0.013704925297364945}",25,5,30.9050386443679,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.9, 'e': 0.013299883542443767}",20,12,13.859723138934315,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.9, 'e': 0.012906812580479873}",20,2,4.536830506919696,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
147,False,"{'a': 0.9, 'e': 0.012525358621074385}",20,0,30.247299301666352,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.9, 'e': 0.012155178329914935}",35,15,14.580110859845027,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
149,False,"{'a': 0.9, 'e': 0.011795938519751572}",20,11,15.796164445336766,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.9, 'e': 0.01144731585050571}",30,18,22.551272579563058,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.9, 'e': 0.011108996538242306}",20,16,8.009180237826538,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.9, 'e': 0.010780676072743084}",20,8,20.73054516174988,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.9, 'e': 0.010462058943426803}",20,13,15.188963674516788,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.9, 'e': 0.010152858373369763}",25,5,30.935772054507787,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.9, 'e': 0.009852796061187257}",20,6,23.77315446966555,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.9, 'e': 0.009561601930543513}",20,8,23.9568731949327,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.9, 'e': 0.009279013887064744}",20,0,30.933726978863106,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
158,False,"{'a': 0.9, 'e': 0.00900477758243656}",25,20,8.499822130651303,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.9, 'e': 0.00873864618547329}",30,10,31.378340578860815,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
